date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.9,SQUEEZE ON,294.8,yellow,3,3
2026-05-12,6.9,SQUEEZE ON,294.8,yellow,3,3
2026-05-12,6.9,SQUEEZE ON,294.8,yellow,3,3
2026-05-12,6.9,SQUEEZE ON,294.8,yellow,3,3
2026-05-12,6.9,SQUEEZE ON,294.8,yellow,3,3
2026-05-13,6.9,SQUEEZE ON,294.8,yellow,3,3
2026-05-13,6.9,SQUEEZE ON,294.8,yellow,3,3
2026-05-13,6.9,SQUEEZE ON,294.8,yellow,3,3
2026-05-18,6.9,SQUEEZE ON,296.775,yellow,3,3
2026-05-25,6.8,SQUEEZE ON,308.82,yellow,3,3
