date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.3,CONFLUENCE,6.39,yellow,3,2
2026-05-12,6.2,CONFLUENCE,6.39,yellow,3,2
2026-05-12,6.2,CONFLUENCE,6.39,yellow,3,2
2026-05-12,6.2,CONFLUENCE,6.39,yellow,3,2
2026-05-12,6.2,CONFLUENCE,6.39,yellow,3,2
2026-05-13,6.2,CONFLUENCE,6.39,yellow,3,2
2026-05-13,6.2,CONFLUENCE,6.39,yellow,3,2
2026-05-13,6.2,CONFLUENCE,6.39,yellow,3,2
2026-05-18,6.2,CONSOLIDATION,5.9901,yellow,3,2
2026-05-25,6.3,CONFLUENCE,6.36,yellow,3,2
2026-06-01,6.3,CONSOLIDATION,6.84,yellow,3,2
2026-06-08,6.3,RISK WATCH,5.73,yellow,3,2
2026-06-15,6.1,RISK WATCH,5.55,yellow,3,1
