date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.5,RISK WATCH,3.08,yellow,3,3
2026-05-12,5.4,RISK WATCH,3.08,yellow,3,3
2026-05-12,5.4,RISK WATCH,3.08,yellow,3,3
2026-05-12,5.4,RISK WATCH,3.08,yellow,3,3
2026-05-12,5.4,RISK WATCH,3.08,yellow,3,3
2026-05-13,5.4,RISK WATCH,3.08,yellow,3,3
2026-05-13,5.4,RISK WATCH,3.08,yellow,3,3
2026-05-13,5.4,RISK WATCH,3.08,yellow,3,3
2026-05-18,5.5,RISK WATCH,2.755,yellow,3,3
2026-05-25,5.5,RISK WATCH,2.9,yellow,3,3
2026-06-01,5.6,CONSOLIDATION,3.01,yellow,3,3
2026-06-08,5.5,RISK WATCH,2.73,yellow,3,3
2026-06-15,5.6,RISK WATCH,2.64,yellow,3,3
2026-06-22,5.7,RISK WATCH,2.925,yellow,3,2
2026-06-29,5.6,RISK WATCH,2.825,yellow,3,3
