date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,7.3,CONSOLIDATION,265.82,green,3,2
2026-05-12,7.3,CONSOLIDATION,265.82,green,3,2
2026-05-12,7.3,CONSOLIDATION,265.82,green,3,2
2026-05-12,7.3,CONSOLIDATION,265.82,green,3,2
2026-05-12,7.3,CONSOLIDATION,265.82,green,3,2
2026-05-13,7.3,CONSOLIDATION,265.82,green,3,2
2026-05-13,7.3,CONSOLIDATION,265.82,green,3,2
2026-05-13,7.3,CONSOLIDATION,265.82,green,3,2
2026-05-18,7.3,CONSOLIDATION,264.135,green,3,2
2026-05-25,7.3,SQUEEZE ON,266.32,green,3,3
2026-06-01,7.3,CONSOLIDATION,261.26,green,3,2
2026-06-08,7.3,RISK WATCH,245.22,green,3,2
2026-06-15,7.4,RISK WATCH,246.02,green,3,1
2026-06-22,7.3,RISK WATCH,233.85,green,3,2
2026-06-29,7.3,RISK WATCH,239.86,green,3,2
