date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,6.7,CONSOLIDATION,490.69,yellow,3,2
2026-05-13,6.7,CONSOLIDATION,490.69,yellow,3,2
2026-05-13,6.7,CONSOLIDATION,490.69,yellow,3,2
2026-05-13,6.6,CONSOLIDATION,460.3,yellow,3,2
2026-05-14,6.7,CONSOLIDATION,485.475,yellow,3,2
2026-05-21,6.8,CONSOLIDATION,485.89,yellow,3,2
2026-05-28,6.5,CONSOLIDATION,599.89,yellow,3,2
2026-06-04,6.5,CONSOLIDATION,558.87,yellow,3,2
2026-06-11,6.6,CONSOLIDATION,478.57,yellow,3,2
2026-06-18,6.5,RISK WATCH,472.84,yellow,3,2
2026-06-25,6.3,RISK WATCH,442.58,yellow,3,3
2026-07-02,6.7,RISK WATCH,546.2401,yellow,3,3
2026-07-09,6.7,RISK WATCH,512.34,yellow,3,3
2026-07-16,6.5,RISK WATCH,442.01,yellow,3,3
2026-07-23,6.7,RISK WATCH,397.3,yellow,3,3
2026-07-30,6.7,RISK WATCH,398.7999,yellow,3,3
