date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,6.0,RISK WATCH,72.96,yellow,3,3
2026-05-13,6.0,RISK WATCH,72.96,yellow,3,3
2026-05-13,6.0,RISK WATCH,72.96,yellow,3,3
2026-05-13,6.0,RISK WATCH,76.245,yellow,3,3
2026-05-14,6.0,CONSOLIDATION,84.01,yellow,3,3
2026-05-21,6.0,CONSOLIDATION,96.23,yellow,3,3
2026-05-28,6.0,CONSOLIDATION,133.09,yellow,3,3
2026-06-04,6.1,CONSOLIDATION,107.29,yellow,3,3
2026-06-11,6.1,CONSOLIDATION,97.56,yellow,3,3
2026-06-18,5.8,RISK WATCH,78.54,yellow,3,3
2026-06-25,5.8,RISK WATCH,64.39,yellow,3,3
