date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,4.5,CONSOLIDATION,21.67,yellow,3,3
2026-05-12,4.5,CONSOLIDATION,21.67,yellow,3,3
2026-05-12,4.5,CONSOLIDATION,21.67,yellow,3,3
2026-05-12,4.5,CONSOLIDATION,21.67,yellow,3,3
2026-05-12,4.5,CONSOLIDATION,21.67,yellow,3,3
2026-05-13,4.5,CONSOLIDATION,21.67,yellow,3,3
2026-05-13,4.5,CONSOLIDATION,21.67,yellow,3,3
2026-05-13,4.5,CONSOLIDATION,21.67,yellow,3,3
2026-05-18,4.4,RISK WATCH,18.555,red,3,3
2026-05-25,4.4,RISK WATCH,18.88,red,3,3
2026-06-01,4.4,RISK WATCH,18.85,red,3,3
2026-06-08,4.3,RISK WATCH,16.85,red,3,3
2026-06-15,4.3,RISK WATCH,17.11,red,3,3
2026-06-22,4.3,RISK WATCH,15.915,red,3,3
2026-06-29,4.3,RISK WATCH,13.3385,red,3,3
2026-07-06,4.4,RISK WATCH,15.9,red,3,3
2026-07-13,4.4,RISK WATCH,14.61,red,3,3
2026-07-20,4.1,RISK WATCH,16.31,red,3,3
2026-07-27,4.2,CONSOLIDATION,17.355,red,3,3
2026-08-03,4.1,CONSOLIDATION,17.31,red,3,3
2026-08-10,4.1,CONSOLIDATION,18.555,red,3,3
2026-08-17,4.2,CONSOLIDATION,18.595,red,3,3
2026-08-24,4.1,RISK WATCH,23.895,red,3,3
