date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.4,CONSOLIDATION,7.02,yellow,3,2
2026-05-12,6.4,CONSOLIDATION,7.02,yellow,3,2
2026-05-12,6.4,CONSOLIDATION,7.02,yellow,3,2
2026-05-12,6.4,CONSOLIDATION,7.02,yellow,3,2
2026-05-12,6.4,CONSOLIDATION,7.02,yellow,3,2
2026-05-13,6.4,CONSOLIDATION,7.02,yellow,3,2
2026-05-13,6.4,CONSOLIDATION,7.02,yellow,3,2
2026-05-13,6.4,CONSOLIDATION,7.02,yellow,3,2
2026-05-18,6.3,CONSOLIDATION,6.975,yellow,3,2
2026-05-25,6.1,CONSOLIDATION,6.18,yellow,3,3
2026-06-01,5.9,CONSOLIDATION,6.6,yellow,3,3
