date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.5,CONSOLIDATION,116.93,yellow,3,1
2026-05-12,6.5,CONSOLIDATION,116.93,yellow,3,1
2026-05-12,6.5,CONSOLIDATION,116.93,yellow,3,1
2026-05-12,6.4,CONSOLIDATION,116.93,yellow,3,1
2026-05-12,6.4,CONSOLIDATION,116.93,yellow,3,1
2026-05-13,6.4,CONSOLIDATION,116.93,yellow,3,1
2026-05-13,6.4,CONSOLIDATION,116.93,yellow,3,1
2026-05-13,6.4,CONSOLIDATION,116.93,yellow,3,1
2026-05-18,6.3,RISK WATCH,104.7886,yellow,3,2
2026-05-25,6.3,RISK WATCH,104.75,yellow,3,1
2026-06-01,6.3,RISK WATCH,112.59,yellow,3,1
2026-06-08,6.4,RISK WATCH,105.44,yellow,3,1
2026-06-15,6.4,RISK WATCH,107.02,yellow,3,1
2026-06-22,6.4,RISK WATCH,107.5705,yellow,3,2
