date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,4.1,RISK WATCH,0.54,red,3,3
2026-05-12,4.0,RISK WATCH,0.54,red,3,3
2026-05-12,4.2,RISK WATCH,0.54,red,3,3
2026-05-12,4.2,RISK WATCH,0.54,red,3,3
2026-05-12,4.2,RISK WATCH,0.54,red,3,3
2026-05-13,4.2,RISK WATCH,0.54,red,3,3
2026-05-13,4.2,RISK WATCH,0.54,red,3,3
2026-05-13,4.2,RISK WATCH,0.54,red,3,3
2026-05-18,4.3,RISK WATCH,0.3509,red,3,3
2026-05-25,4.2,RISK WATCH,2.26,red,3,3
2026-06-01,4.3,RISK WATCH,3.17,red,3,3
2026-06-08,4.4,RISK WATCH,3.79,red,3,3
2026-06-15,4.3,RISK WATCH,3.37,red,3,3
2026-06-22,4.6,RISK WATCH,2.9301,yellow,3,3
