date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,4.9,CONSOLIDATION,11.83,yellow,3,3
2026-05-13,4.9,CONSOLIDATION,11.83,yellow,3,3
2026-05-13,4.9,CONSOLIDATION,11.83,yellow,3,3
2026-05-13,4.9,CONSOLIDATION,11.4372,yellow,3,3
2026-05-14,4.9,CONSOLIDATION,11.69,yellow,3,3
2026-05-21,5.0,CONSOLIDATION,11.14,yellow,3,3
2026-05-28,5.0,CONSOLIDATION,11.61,yellow,3,3
2026-06-04,5.0,RISK WATCH,10.97,yellow,3,3
2026-06-11,4.7,RISK WATCH,9.74,yellow,3,3
2026-06-18,4.8,RISK WATCH,10.025,yellow,3,3
2026-06-25,4.8,RISK WATCH,9.12,yellow,3,3
