date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.7,CONSOLIDATION,107.75,yellow,3,3
2026-05-13,5.7,CONSOLIDATION,107.75,yellow,3,3
2026-05-13,5.7,CONSOLIDATION,107.75,yellow,3,3
2026-05-13,5.7,RISK WATCH,111.17,yellow,3,3
2026-05-14,5.7,CONSOLIDATION,114.04,yellow,3,3
2026-05-21,5.8,CONSOLIDATION,107.58,yellow,3,3
2026-05-28,5.6,CONSOLIDATION,106.86,yellow,3,3
2026-06-04,5.6,CONSOLIDATION,108.03,yellow,3,3
2026-06-11,5.6,RISK WATCH,95.74,yellow,3,3
2026-06-18,5.6,CONSOLIDATION,116.95,yellow,3,3
2026-06-25,5.5,RISK WATCH,100.77,yellow,3,3
2026-07-02,5.6,RISK WATCH,82.61,yellow,3,3
2026-07-09,5.5,RISK WATCH,92.73,yellow,3,3
2026-07-16,5.5,RISK WATCH,73.295,yellow,3,3
2026-07-23,5.5,RISK WATCH,81.56,yellow,3,3
2026-07-30,6.0,RISK WATCH,74.64,yellow,3,3
2026-08-20,5.9,CONSOLIDATION,91.48,yellow,3,3
