date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,6.5,CONSOLIDATION,238.94,yellow,3,2
2026-05-13,6.5,CONSOLIDATION,238.94,yellow,3,2
2026-05-13,6.5,CONSOLIDATION,238.94,yellow,3,2
2026-05-13,6.5,CONSOLIDATION,244.01,yellow,3,3
2026-05-14,6.6,CONSOLIDATION,247.26,yellow,3,3
2026-05-21,6.5,CONSOLIDATION,252.8,yellow,3,3
2026-05-28,6.1,CONSOLIDATION,317.05,yellow,3,3
2026-06-04,6.0,CONSOLIDATION,422.05,yellow,3,3
2026-06-11,6.2,CONSOLIDATION,391.45,yellow,3,1
2026-06-18,6.2,CONSOLIDATION,421.49,yellow,3,3
2026-06-25,6.2,CONSOLIDATION,411.21,yellow,3,2
2026-07-02,6.3,RISK WATCH,395.725,yellow,3,2
2026-07-09,6.3,CONSOLIDATION,454.19,yellow,3,2
2026-07-16,6.3,RISK WATCH,402.42,yellow,3,2
2026-07-23,6.4,CONSOLIDATION,439.875,yellow,3,3
2026-07-30,6.4,RISK WATCH,407.12,yellow,3,2
2026-08-20,6.6,RISK WATCH,438.3031,yellow,3,2
