date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.0,CONSOLIDATION,10.38,yellow,3,3
2026-05-13,5.0,CONFLUENCE,10.38,yellow,3,3
2026-05-13,5.0,CONFLUENCE,10.38,yellow,3,3
2026-05-13,5.0,CONSOLIDATION,10.6191,yellow,3,3
2026-05-14,5.1,CONFLUENCE,11.05,yellow,3,3
2026-05-21,5.3,CONSOLIDATION,10.31,yellow,3,3
2026-05-28,5.2,CONSOLIDATION,11.71,yellow,3,3
2026-06-04,5.2,CONSOLIDATION,11.11,yellow,3,3
2026-06-11,5.1,RISK WATCH,9.81,yellow,3,3
2026-06-18,5.0,CONSOLIDATION,10.255,yellow,3,3
2026-06-25,5.2,RISK WATCH,9.65,yellow,3,3
2026-07-02,4.8,RISK WATCH,9.94,yellow,3,3
2026-07-09,4.8,RISK WATCH,8.96,yellow,3,3
2026-07-16,5.2,CONSOLIDATION,9.895,yellow,3,2
2026-07-23,5.1,RISK WATCH,8.5538,yellow,3,3
2026-07-30,5.0,RISK WATCH,8.35,yellow,3,3
2026-08-20,4.8,RISK WATCH,7.01,yellow,3,3
2026-08-27,4.6,RISK WATCH,6.84,yellow,2,3
2026-09-03,4.5,RISK WATCH,6.6114,yellow,1,3
