date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.3,CONSOLIDATION,17.09,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,17.09,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,17.09,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,17.755,yellow,3,3
2026-05-14,5.2,CONSOLIDATION,20.39,yellow,3,3
2026-05-21,5.4,CONSOLIDATION,26.38,yellow,3,3
2026-05-28,5.7,RISK WATCH,24.39,yellow,3,3
2026-06-04,5.7,CONSOLIDATION,21.4,yellow,3,3
2026-06-11,5.2,CONSOLIDATION,17.69,yellow,3,3
2026-06-18,5.2,CONSOLIDATION,21.505,yellow,3,3
2026-06-25,5.2,CONSOLIDATION,19.219,yellow,3,3
2026-07-02,5.3,CONSOLIDATION,27.24,yellow,3,3
2026-07-09,5.3,CONSOLIDATION,24.19,yellow,3,3
2026-07-16,5.0,RISK WATCH,17.81,yellow,3,3
2026-07-23,5.2,CONSOLIDATION,23.8,yellow,3,3
2026-07-30,5.3,RISK WATCH,22.33,yellow,3,3
2026-08-20,5.3,RISK WATCH,20.035,yellow,3,3
2026-08-27,5.8,RISK WATCH,19.32,yellow,3,3
2026-09-03,5.2,RISK WATCH,14.865,yellow,3,3
