date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.8,CONSOLIDATION,21.28,yellow,3,3
2026-05-13,5.9,CONSOLIDATION,21.28,yellow,3,3
2026-05-13,5.8,CONSOLIDATION,21.28,yellow,3,3
2026-05-13,5.8,CONSOLIDATION,21.94,yellow,3,3
2026-05-14,5.8,CONSOLIDATION,21.115,yellow,3,3
2026-05-21,5.7,CONSOLIDATION,20.19,yellow,3,3
2026-05-28,5.7,CONSOLIDATION,21.36,yellow,3,3
2026-06-04,5.9,CONSOLIDATION,27.15,yellow,3,3
2026-06-11,5.8,CONSOLIDATION,24.28,yellow,3,3
2026-06-18,5.9,CONSOLIDATION,24.1312,yellow,3,3
2026-06-25,5.6,RISK WATCH,19.34,yellow,3,3
