date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.5,CONFLUENCE,19.91,yellow,3,2
2026-05-13,5.5,CONFLUENCE,19.91,yellow,3,2
2026-05-13,5.5,CONFLUENCE,19.91,yellow,3,2
2026-05-13,5.4,RISK WATCH,15.4001,yellow,3,3
2026-05-14,5.4,RISK WATCH,15.92,yellow,3,1
2026-05-21,5.5,RISK WATCH,15.36,yellow,3,2
2026-05-28,5.5,CONSOLIDATION,17.83,yellow,3,2
2026-06-04,5.3,RISK WATCH,15.97,yellow,3,3
2026-06-11,5.2,RISK WATCH,15.37,yellow,3,3
2026-06-18,5.3,RISK WATCH,13.0,yellow,3,3
2026-06-25,5.4,RISK WATCH,11.77,yellow,3,3
2026-07-02,5.5,RISK WATCH,13.14,yellow,3,3
2026-07-09,5.4,RISK WATCH,12.11,yellow,3,3
2026-07-16,5.5,RISK WATCH,11.19,yellow,3,3
2026-07-23,5.7,RISK WATCH,11.255,yellow,3,3
2026-07-30,5.6,RISK WATCH,10.805,yellow,3,3
2026-08-20,5.5,RISK WATCH,10.72,yellow,3,3
2026-08-27,5.2,RISK WATCH,10.36,yellow,3,2
