date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.2,CONSOLIDATION,107.31,yellow,3,3
2026-05-13,5.2,CONSOLIDATION,107.31,yellow,3,3
2026-05-13,5.2,CONSOLIDATION,107.31,yellow,3,3
2026-05-13,5.2,RISK WATCH,109.925,yellow,3,3
2026-05-14,5.2,CONSOLIDATION,107.5701,yellow,3,3
2026-05-21,5.2,CONSOLIDATION,105.26,yellow,3,3
2026-05-28,5.1,CONSOLIDATION,124.24,yellow,3,3
2026-06-04,5.1,CONSOLIDATION,127.76,yellow,3,3
2026-06-11,5.2,CONSOLIDATION,116.31,yellow,3,3
2026-06-18,5.1,CONSOLIDATION,124.83,yellow,3,3
2026-06-25,5.1,RISK WATCH,114.87,yellow,3,3
