date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.4,CONFLUENCE,56.56,yellow,3,3
2026-05-12,5.3,CONFLUENCE,56.56,yellow,3,3
2026-05-12,5.3,CONFLUENCE,56.56,yellow,3,3
2026-05-12,5.3,CONFLUENCE,56.56,yellow,3,3
2026-05-12,5.3,CONFLUENCE,56.56,yellow,3,3
2026-05-13,5.3,CONFLUENCE,56.56,yellow,3,3
2026-05-13,5.3,CONFLUENCE,56.56,yellow,3,3
2026-05-13,5.3,CONFLUENCE,56.56,yellow,3,3
2026-05-18,5.4,CONSOLIDATION,49.74,yellow,3,3
2026-05-25,5.4,CONSOLIDATION,56.83,yellow,3,3
2026-06-01,5.3,CONSOLIDATION,65.33,yellow,3,3
2026-06-08,5.3,CONSOLIDATION,59.19,yellow,3,3
2026-06-15,5.3,CONSOLIDATION,60.85,yellow,3,3
2026-06-22,5.3,RISK WATCH,57.15,yellow,3,3
