date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.1,RISK WATCH,57.33,yellow,3,3
2026-05-12,6.0,RISK WATCH,57.33,yellow,3,3
2026-05-12,6.0,RISK WATCH,57.33,yellow,3,3
2026-05-12,6.0,RISK WATCH,57.33,yellow,3,3
2026-05-12,6.0,RISK WATCH,57.33,yellow,3,3
2026-05-13,6.1,RISK WATCH,57.33,yellow,3,3
2026-05-13,6.0,RISK WATCH,57.33,yellow,3,3
2026-05-13,6.0,RISK WATCH,57.33,yellow,3,3
2026-05-18,6.0,RISK WATCH,53.89,yellow,3,3
2026-05-25,6.1,RISK WATCH,56.18,yellow,3,3
2026-06-01,6.2,CONSOLIDATION,63.49,yellow,3,3
2026-06-08,6.2,RISK WATCH,57.73,yellow,3,3
2026-06-15,6.2,CONSOLIDATION,57.02,yellow,3,3
