date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.6,CONSOLIDATION,5.57,yellow,3,3
2026-05-12,5.6,CONSOLIDATION,5.57,yellow,3,3
2026-05-12,5.7,CONSOLIDATION,5.57,yellow,3,3
2026-05-12,5.7,CONSOLIDATION,5.57,yellow,3,3
2026-05-12,5.7,CONSOLIDATION,5.57,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,5.57,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,5.57,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,5.57,yellow,3,3
2026-05-18,5.5,RISK WATCH,4.78,yellow,3,2
2026-05-25,5.4,CONSOLIDATION,4.87,yellow,3,2
