date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,7.5,RISK WATCH,603.0,green,3,0
2026-05-12,7.5,RISK WATCH,603.0,green,3,0
2026-05-12,7.5,RISK WATCH,603.0,green,3,0
2026-05-12,7.4,RISK WATCH,603.0,green,3,0
2026-05-12,7.4,RISK WATCH,603.0,green,3,0
2026-05-13,7.4,RISK WATCH,603.0,green,3,0
2026-05-13,7.4,RISK WATCH,603.0,green,3,0
2026-05-13,7.4,RISK WATCH,603.0,green,3,0
2026-05-18,7.4,RISK WATCH,612.1,green,3,0
2026-05-25,7.4,RISK WATCH,610.26,green,3,0
2026-06-01,7.3,RISK WATCH,600.47,green,3,1
2026-06-08,7.3,RISK WATCH,585.39,green,3,1
