date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.0,CONSOLIDATION,65.59,yellow,3,3
2026-05-12,6.0,CONSOLIDATION,65.59,yellow,3,3
2026-05-12,6.0,CONSOLIDATION,65.59,yellow,3,3
2026-05-12,6.0,CONSOLIDATION,65.59,yellow,3,3
2026-05-12,6.0,CONSOLIDATION,65.59,yellow,3,3
2026-05-13,6.0,CONSOLIDATION,65.59,yellow,3,3
2026-05-13,6.0,CONSOLIDATION,65.59,yellow,3,3
2026-05-13,6.0,CONSOLIDATION,65.59,yellow,3,3
2026-05-18,6.0,RISK WATCH,55.732,yellow,3,3
2026-05-25,6.0,CONSOLIDATION,64.46,yellow,3,3
2026-06-01,6.0,CONSOLIDATION,69.29,yellow,3,3
2026-06-08,5.9,RISK WATCH,57.58,yellow,3,3
2026-06-15,6.0,RISK WATCH,58.26,yellow,3,2
2026-06-22,5.8,RISK WATCH,61.195,yellow,3,3
2026-06-29,5.8,RISK WATCH,54.33,yellow,3,3
2026-07-06,5.8,RISK WATCH,53.78,yellow,3,3
2026-07-13,5.9,RISK WATCH,50.02,yellow,3,3
2026-07-20,6.0,RISK WATCH,44.13,yellow,3,3
2026-07-27,6.2,RISK WATCH,42.09,yellow,3,3
2026-08-03,6.2,RISK WATCH,43.77,yellow,3,3
2026-08-10,6.0,CONSOLIDATION,55.54,yellow,3,3
2026-08-17,5.9,RISK WATCH,56.73,yellow,3,3
2026-08-24,5.9,CONSOLIDATION,57.72,yellow,3,3
2026-08-31,5.9,CONSOLIDATION,54.5,yellow,3,3
