date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.9,CONSOLIDATION,44.01,yellow,3,3
2026-05-12,5.9,CONSOLIDATION,44.01,yellow,3,3
2026-05-12,5.9,CONSOLIDATION,44.01,yellow,3,3
2026-05-12,5.9,CONSOLIDATION,44.01,yellow,3,3
2026-05-12,5.9,CONSOLIDATION,44.01,yellow,3,3
2026-05-13,5.9,CONSOLIDATION,44.01,yellow,3,3
2026-05-13,5.9,CONSOLIDATION,44.01,yellow,3,3
2026-05-13,5.9,CONSOLIDATION,44.01,yellow,3,3
2026-05-18,5.8,CONSOLIDATION,32.9075,yellow,3,2
2026-05-25,5.8,CONSOLIDATION,33.68,yellow,3,2
2026-06-01,5.8,CONSOLIDATION,30.11,yellow,3,3
2026-06-08,5.8,RISK WATCH,24.3,yellow,3,3
