date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,6.5,CONSOLIDATION,766.58,yellow,3,3
2026-05-13,6.5,CONSOLIDATION,766.58,yellow,3,3
2026-05-13,6.5,CONSOLIDATION,766.58,yellow,3,3
2026-05-13,6.4,CONSOLIDATION,796.22,yellow,3,3
2026-05-14,6.4,CONSOLIDATION,790.8501,yellow,3,3
2026-05-21,6.6,CONSOLIDATION,762.1,yellow,3,3
2026-05-28,6.7,CONSOLIDATION,923.52,yellow,3,3
2026-06-04,6.6,CONSOLIDATION,996.0,yellow,3,3
2026-06-11,7.0,CONSOLIDATION,995.87,green,3,3
2026-06-18,6.9,CONSOLIDATION,1127.99,yellow,3,3
2026-06-25,6.7,CONSOLIDATION,1207.78,yellow,3,3
2026-07-02,6.7,RISK WATCH,994.32,yellow,3,1
2026-07-09,6.6,CONSOLIDATION,1020.16,yellow,3,2
2026-07-16,6.5,RISK WATCH,856.56,yellow,3,3
2026-07-23,6.6,RISK WATCH,985.29,yellow,3,2
2026-07-30,6.6,RISK WATCH,848.04,yellow,3,3
2026-08-20,6.5,RISK WATCH,945.59,yellow,3,2
2026-08-27,6.8,CONSOLIDATION,935.39,yellow,3,1
2026-09-03,6.7,RISK WATCH,940.9896,yellow,3,1
