date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.3,CONSOLIDATION,179.11,yellow,3,3
2026-05-12,5.3,CONSOLIDATION,179.11,yellow,3,3
2026-05-12,5.3,CONSOLIDATION,179.11,yellow,3,3
2026-05-12,5.3,CONSOLIDATION,179.11,yellow,3,3
2026-05-12,5.3,CONSOLIDATION,179.11,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,179.11,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,179.11,yellow,3,3
2026-05-13,5.3,CONSOLIDATION,179.11,yellow,3,3
2026-05-18,5.4,CONSOLIDATION,195.06,yellow,3,3
2026-05-25,5.3,CONSOLIDATION,214.77,yellow,3,3
2026-06-01,5.2,CONSOLIDATION,264.51,yellow,3,3
2026-06-08,5.4,CONSOLIDATION,218.0,yellow,3,3
2026-06-15,5.4,CONSOLIDATION,260.07,yellow,3,3
2026-06-22,5.3,CONSOLIDATION,283.48,yellow,3,3
