date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,7.5,CONSOLIDATION,89.0,green,3,2
2026-05-12,7.5,CONSOLIDATION,89.0,green,3,2
2026-05-12,7.1,CONSOLIDATION,89.0,green,3,2
2026-05-12,7.1,CONSOLIDATION,89.0,green,3,2
2026-05-12,7.1,CONSOLIDATION,89.0,green,3,2
2026-05-13,7.1,CONSOLIDATION,89.0,green,3,2
2026-05-13,7.1,CONSOLIDATION,89.0,green,3,2
2026-05-13,7.1,CONSOLIDATION,89.0,green,3,2
2026-05-18,7.2,CONSOLIDATION,103.27,green,3,1
2026-05-25,7.3,CONSOLIDATION,102.13,green,3,1
2026-06-01,7.1,CONSOLIDATION,135.86,green,3,2
2026-06-08,7.2,CONSOLIDATION,114.19,green,3,2
2026-06-15,7.2,CONSOLIDATION,104.15,green,3,1
2026-06-22,7.2,RISK WATCH,92.28,green,3,1
