date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.3,CONSOLIDATION,73.63,yellow,3,3
2026-05-12,6.3,CONSOLIDATION,73.63,yellow,3,3
2026-05-12,6.3,CONSOLIDATION,73.63,yellow,3,3
2026-05-12,6.3,CONSOLIDATION,73.63,yellow,3,3
2026-05-12,6.3,CONSOLIDATION,73.63,yellow,3,3
2026-05-13,6.3,CONSOLIDATION,73.63,yellow,3,3
2026-05-13,6.3,CONSOLIDATION,73.63,yellow,3,3
2026-05-13,6.3,CONSOLIDATION,73.63,yellow,3,3
2026-05-18,6.3,RISK WATCH,57.93,yellow,3,3
2026-05-25,6.5,CONSOLIDATION,65.88,yellow,3,3
2026-06-01,6.3,CONSOLIDATION,66.89,yellow,3,3
