date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,4.9,CONSOLIDATION,4.71,yellow,3,3
2026-05-12,4.9,CONSOLIDATION,4.71,yellow,3,3
2026-05-12,4.8,CONSOLIDATION,4.71,yellow,3,3
2026-05-12,4.8,CONSOLIDATION,4.71,yellow,3,3
2026-05-12,4.8,CONSOLIDATION,4.71,yellow,3,3
2026-05-13,4.8,CONSOLIDATION,4.71,yellow,3,3
2026-05-13,5.0,CONSOLIDATION,4.71,yellow,3,3
2026-05-13,5.0,CONSOLIDATION,4.71,yellow,3,3
2026-05-18,5.0,RISK WATCH,4.215,yellow,3,3
2026-05-25,5.0,RISK WATCH,4.53,yellow,3,3
