date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.8,CONSOLIDATION,23.73,yellow,3,3
2026-05-12,5.8,CONSOLIDATION,23.73,yellow,3,3
2026-05-12,5.8,CONSOLIDATION,23.73,yellow,3,3
2026-05-12,5.8,CONSOLIDATION,23.73,yellow,3,3
2026-05-12,5.8,CONSOLIDATION,23.73,yellow,3,3
2026-05-13,5.9,CONSOLIDATION,23.73,yellow,3,3
2026-05-13,5.8,CONSOLIDATION,23.73,yellow,3,3
2026-05-13,5.8,CONSOLIDATION,23.73,yellow,3,3
2026-05-18,5.7,CONSOLIDATION,25.07,yellow,3,3
2026-05-25,5.8,CONSOLIDATION,22.64,yellow,3,2
2026-06-01,5.9,CONSOLIDATION,22.97,yellow,3,2
2026-06-08,5.9,CONFLUENCE,27.39,yellow,3,2
2026-06-15,5.9,CONSOLIDATION,29.14,yellow,3,3
2026-06-22,5.8,CONSOLIDATION,28.9,yellow,3,3
2026-06-29,5.8,CONSOLIDATION,29.11,yellow,3,3
2026-07-06,5.7,CONSOLIDATION,31.1913,yellow,3,3
2026-07-13,5.8,CONSOLIDATION,31.526,yellow,3,3
2026-07-20,5.8,CONSOLIDATION,29.8,yellow,3,3
2026-07-27,6.0,CONSOLIDATION,28.835,yellow,3,3
2026-08-03,6.1,RISK WATCH,30.745,yellow,3,3
2026-08-10,5.6,RISK WATCH,28.34,yellow,3,2
2026-08-17,5.8,CONSOLIDATION,31.525,yellow,3,3
2026-08-24,5.7,CONSOLIDATION,32.865,yellow,3,3
2026-08-31,5.8,RISK WATCH,29.92,yellow,3,2
