date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.3,RISK WATCH,10.01,yellow,3,1
2026-05-12,6.3,RISK WATCH,10.01,yellow,3,1
2026-05-12,6.4,RISK WATCH,10.01,yellow,3,1
2026-05-12,6.4,RISK WATCH,10.01,yellow,3,1
2026-05-12,6.4,RISK WATCH,10.01,yellow,3,1
2026-05-13,6.7,RISK WATCH,10.01,yellow,3,1
2026-05-13,6.7,RISK WATCH,10.01,yellow,3,1
2026-05-13,6.7,RISK WATCH,10.01,yellow,3,1
2026-05-18,6.6,CONSOLIDATION,10.5599,yellow,3,2
2026-05-25,6.6,CONSOLIDATION,10.93,yellow,3,2
2026-06-01,6.3,CONSOLIDATION,13.1,yellow,3,2
2026-06-08,6.3,CONSOLIDATION,11.17,yellow,3,2
2026-06-15,6.3,CONFLUENCE,10.79,yellow,3,2
