date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.9,CONSOLIDATION,13.53,yellow,3,1
2026-05-12,5.9,CONSOLIDATION,13.53,yellow,3,1
2026-05-12,5.6,CONSOLIDATION,13.53,yellow,3,1
2026-05-12,5.6,CONSOLIDATION,13.53,yellow,3,1
2026-05-12,5.6,CONSOLIDATION,13.53,yellow,3,1
2026-05-13,5.6,CONSOLIDATION,13.53,yellow,3,1
2026-05-13,5.6,CONSOLIDATION,13.53,yellow,3,1
2026-05-13,5.6,CONSOLIDATION,13.53,yellow,3,1
2026-05-18,5.6,CONSOLIDATION,12.78,yellow,3,2
2026-05-25,5.4,RISK WATCH,12.76,yellow,3,1
2026-06-01,5.9,CONFLUENCE,15.64,yellow,3,1
2026-06-08,5.7,CONSOLIDATION,15.28,yellow,3,1
2026-06-15,5.6,CONSOLIDATION,15.68,yellow,3,1
2026-06-22,5.6,CONSOLIDATION,14.94,yellow,3,2
2026-06-29,5.6,CONSOLIDATION,16.25,yellow,3,2
2026-07-06,5.5,RISK WATCH,19.09,yellow,3,2
2026-07-13,5.8,CONSOLIDATION,17.79,yellow,3,2
2026-07-20,6.0,CONSOLIDATION,16.99,yellow,3,2
2026-07-27,6.0,CONSOLIDATION,16.65,yellow,3,2
2026-08-03,5.6,CONSOLIDATION,21.62,yellow,3,1
2026-08-10,5.5,CONSOLIDATION,21.475,yellow,3,2
