date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,6.1,CONSOLIDATION,40.68,yellow,3,2
2026-05-13,6.1,CONSOLIDATION,40.68,yellow,3,2
2026-05-13,6.1,CONSOLIDATION,40.68,yellow,3,2
2026-05-13,6.1,CONSOLIDATION,40.87,yellow,3,2
2026-05-14,6.0,CONSOLIDATION,42.835,yellow,3,2
2026-05-21,6.5,CONSOLIDATION,42.48,yellow,3,2
2026-05-28,6.3,CONSOLIDATION,51.4,yellow,3,3
2026-06-04,6.0,CONFLUENCE,43.53,yellow,3,1
2026-06-11,5.7,RISK WATCH,34.17,yellow,3,3
2026-06-18,5.7,RISK WATCH,26.9868,yellow,3,3
2026-06-25,5.7,RISK WATCH,25.995,yellow,3,3
