date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,6.5,CONSOLIDATION,136.0,yellow,3,2
2026-05-13,6.5,CONSOLIDATION,136.0,yellow,3,2
2026-05-13,6.5,CONSOLIDATION,136.0,yellow,3,2
2026-05-13,6.4,RISK WATCH,130.0001,yellow,3,3
2026-05-14,6.5,RISK WATCH,133.4,yellow,3,2
2026-05-21,6.7,RISK WATCH,137.415,yellow,3,2
2026-05-28,6.6,CONSOLIDATION,143.34,yellow,3,3
2026-06-04,6.5,CONSOLIDATION,141.7,yellow,3,3
2026-06-11,6.6,CONSOLIDATION,131.08,yellow,3,2
2026-06-18,6.6,RISK WATCH,128.14,yellow,3,2
2026-06-25,6.5,RISK WATCH,107.07,yellow,3,3
2026-07-02,6.6,RISK WATCH,129.02,yellow,3,2
2026-07-09,6.5,RISK WATCH,126.395,yellow,3,3
2026-07-16,6.4,RISK WATCH,132.38,yellow,3,3
2026-07-23,6.6,RISK WATCH,121.21,yellow,3,3
2026-07-30,6.8,RISK WATCH,121.41,yellow,3,3
2026-08-20,6.6,RISK WATCH,174.77,yellow,3,3
