date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,4.9,CONFLUENCE,3.56,yellow,3,3
2026-05-13,4.9,CONFLUENCE,3.56,yellow,3,3
2026-05-13,4.9,CONFLUENCE,3.56,yellow,3,3
2026-05-13,4.8,CONSOLIDATION,3.855,yellow,3,3
2026-05-14,4.8,CONSOLIDATION,3.82,yellow,3,3
2026-05-21,4.9,CONSOLIDATION,3.78,yellow,3,3
2026-05-28,4.8,CONSOLIDATION,4.12,yellow,3,3
2026-06-04,4.9,CONSOLIDATION,3.6,yellow,3,3
2026-06-11,4.7,RISK WATCH,2.83,yellow,3,3
2026-06-18,4.8,RISK WATCH,2.76,yellow,3,3
2026-06-25,4.8,RISK WATCH,2.595,yellow,3,3
2026-07-02,4.6,RISK WATCH,2.575,yellow,3,3
2026-07-09,4.6,RISK WATCH,2.395,yellow,3,3
2026-07-16,4.7,RISK WATCH,2.175,yellow,3,3
2026-07-23,4.7,RISK WATCH,2.215,yellow,3,3
2026-07-30,4.7,RISK WATCH,2.05,yellow,3,3
2026-08-20,4.8,RISK WATCH,2.215,yellow,3,3
2026-08-27,4.8,CONSOLIDATION,2.27,yellow,3,3
2026-09-03,4.8,RISK WATCH,2.1001,yellow,3,3
