date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.3,CONSOLIDATION,28.69,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,28.69,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,28.69,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,28.69,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,28.69,yellow,3,2
2026-05-13,6.3,CONSOLIDATION,28.69,yellow,3,2
2026-05-13,6.3,CONSOLIDATION,28.69,yellow,3,2
2026-05-13,6.3,CONSOLIDATION,28.69,yellow,3,2
2026-05-18,6.3,CONSOLIDATION,25.81,yellow,3,2
2026-05-25,6.2,CONSOLIDATION,29.0,yellow,3,2
2026-06-01,6.3,CONSOLIDATION,27.86,yellow,3,2
2026-06-08,6.2,CONSOLIDATION,28.35,yellow,3,3
2026-06-15,6.2,RISK WATCH,23.22,yellow,3,2
2026-06-22,6.1,RISK WATCH,21.21,yellow,3,3
2026-06-29,6.1,RISK WATCH,22.37,yellow,3,3
2026-07-06,6.2,RISK WATCH,21.5,yellow,3,3
2026-07-13,6.2,RISK WATCH,21.26,yellow,3,3
2026-07-20,6.5,RISK WATCH,18.79,yellow,3,3
2026-07-27,6.5,RISK WATCH,17.885,yellow,3,3
2026-08-03,6.1,RISK WATCH,18.08,yellow,3,3
