date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.8,CONFLUENCE,22.35,yellow,3,1
2026-05-13,5.8,CONFLUENCE,22.35,yellow,3,1
2026-05-13,5.8,CONFLUENCE,22.35,yellow,3,1
2026-05-13,5.7,CONSOLIDATION,21.72,yellow,3,3
2026-05-14,5.9,CONSOLIDATION,22.13,yellow,3,2
2026-05-21,5.8,CONFLUENCE,25.74,yellow,3,2
2026-05-28,5.6,CONSOLIDATION,29.49,yellow,3,3
2026-06-04,5.5,CONSOLIDATION,27.64,yellow,3,3
2026-06-11,5.7,CONSOLIDATION,23.82,yellow,3,3
2026-06-18,5.5,CONSOLIDATION,23.815,yellow,3,3
2026-06-25,5.4,RISK WATCH,22.27,yellow,3,3
2026-07-02,5.5,RISK WATCH,22.78,yellow,3,3
2026-07-09,5.5,RISK WATCH,21.24,yellow,3,3
2026-07-16,5.4,RISK WATCH,17.425,yellow,3,3
2026-07-23,5.9,RISK WATCH,17.09,yellow,3,3
2026-07-30,6.1,RISK WATCH,17.4501,yellow,3,3
2026-08-20,5.6,RISK WATCH,18.9099,yellow,3,3
2026-08-27,5.5,RISK WATCH,17.9,yellow,3,3
2026-09-03,5.5,RISK WATCH,16.645,yellow,3,3
