date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.6,RISK WATCH,11.03,yellow,3,3
2026-05-12,5.6,RISK WATCH,11.03,yellow,3,3
2026-05-12,5.6,RISK WATCH,11.03,yellow,3,3
2026-05-12,5.5,RISK WATCH,11.03,yellow,3,3
2026-05-12,5.5,RISK WATCH,11.03,yellow,3,3
2026-05-13,5.5,RISK WATCH,11.03,yellow,3,3
2026-05-13,5.5,RISK WATCH,11.03,yellow,3,3
2026-05-13,5.5,RISK WATCH,11.03,yellow,3,3
2026-05-18,5.5,RISK WATCH,8.995,yellow,3,3
2026-05-25,5.5,RISK WATCH,9.41,yellow,3,3
2026-06-01,5.8,CONSOLIDATION,14.84,yellow,3,3
