date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.7,CONFLUENCE,19.07,yellow,3,1
2026-05-12,5.7,CONFLUENCE,19.07,yellow,3,1
2026-05-12,5.7,CONFLUENCE,19.07,yellow,3,1
2026-05-12,5.7,CONFLUENCE,19.07,yellow,3,1
2026-05-12,5.7,CONFLUENCE,19.07,yellow,3,1
2026-05-13,5.7,CONFLUENCE,19.07,yellow,3,1
2026-05-13,5.7,CONFLUENCE,19.07,yellow,3,1
2026-05-13,5.7,CONFLUENCE,19.07,yellow,3,1
2026-05-18,5.7,RISK WATCH,16.325,yellow,3,2
2026-05-25,5.7,CONSOLIDATION,26.42,yellow,3,1
2026-06-01,5.6,CONFLUENCE,25.63,yellow,3,2
