date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.3,CONSOLIDATION,117.56,yellow,3,3
2026-05-12,6.3,CONSOLIDATION,117.56,yellow,3,3
2026-05-12,6.3,CONSOLIDATION,117.56,yellow,3,3
2026-05-12,6.3,CONSOLIDATION,117.56,yellow,3,3
2026-05-12,6.3,CONSOLIDATION,117.56,yellow,3,3
2026-05-13,6.3,CONSOLIDATION,117.56,yellow,3,3
2026-05-13,6.3,CONSOLIDATION,117.56,yellow,3,3
2026-05-13,6.3,CONSOLIDATION,117.56,yellow,3,3
2026-05-18,6.2,CONSOLIDATION,129.71,yellow,3,3
2026-05-25,6.3,CONSOLIDATION,135.76,yellow,3,3
2026-06-01,6.4,CONSOLIDATION,122.39,yellow,3,2
2026-06-08,6.4,CONSOLIDATION,113.65,yellow,3,3
2026-06-15,6.5,CONSOLIDATION,109.25,yellow,3,1
2026-06-22,6.2,RISK WATCH,99.66,yellow,3,3
2026-06-29,6.2,RISK WATCH,95.0757,yellow,3,3
2026-07-06,6.2,RISK WATCH,95.84,yellow,3,3
2026-07-13,6.1,RISK WATCH,77.49,yellow,3,3
2026-07-20,6.1,RISK WATCH,66.2801,yellow,3,3
2026-07-27,6.6,RISK WATCH,64.715,yellow,3,3
2026-08-03,6.6,RISK WATCH,70.15,yellow,3,3
2026-08-10,6.2,RISK WATCH,83.74,yellow,3,3
2026-08-17,6.2,RISK WATCH,83.7508,yellow,3,3
2026-08-24,6.3,RISK WATCH,69.4799,yellow,3,3
2026-08-31,6.2,RISK WATCH,63.77,yellow,3,3
