date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.7,RISK WATCH,8.76,yellow,3,3
2026-05-12,5.7,RISK WATCH,8.76,yellow,3,3
2026-05-12,5.7,RISK WATCH,8.76,yellow,3,3
2026-05-12,5.7,RISK WATCH,8.76,yellow,3,3
2026-05-12,5.7,RISK WATCH,8.76,yellow,3,3
2026-05-13,5.8,RISK WATCH,8.76,yellow,3,3
2026-05-13,5.7,RISK WATCH,8.76,yellow,3,3
2026-05-13,5.7,RISK WATCH,8.76,yellow,3,3
2026-05-18,5.6,RISK WATCH,8.09,yellow,3,3
2026-05-25,5.8,RISK WATCH,8.7,yellow,3,3
2026-06-01,5.9,CONFLUENCE,9.42,yellow,3,3
