date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.4,CONSOLIDATION,12.0,yellow,3,3
2026-05-12,5.4,CONSOLIDATION,12.0,yellow,3,3
2026-05-12,5.4,CONSOLIDATION,12.0,yellow,3,3
2026-05-12,5.4,CONSOLIDATION,12.0,yellow,3,3
2026-05-12,5.4,CONSOLIDATION,12.0,yellow,3,3
2026-05-13,5.4,CONSOLIDATION,12.0,yellow,3,3
2026-05-13,5.4,CONSOLIDATION,12.0,yellow,3,3
2026-05-13,5.4,CONSOLIDATION,12.0,yellow,3,3
2026-05-18,5.3,RISK WATCH,10.34,yellow,3,3
2026-05-25,5.3,RISK WATCH,11.4,yellow,3,3
2026-06-01,5.4,CONSOLIDATION,12.89,yellow,3,3
2026-06-08,5.3,RISK WATCH,10.76,yellow,3,3
2026-06-15,5.4,RISK WATCH,10.64,yellow,3,3
