date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.8,CONSOLIDATION,808.795,yellow,3,3
2026-05-13,5.8,CONSOLIDATION,808.795,yellow,3,3
2026-05-13,5.8,CONSOLIDATION,808.795,yellow,3,3
2026-05-13,5.8,RISK WATCH,818.16,yellow,3,3
2026-05-14,5.8,RISK WATCH,801.46,yellow,3,3
2026-05-21,6.1,CONSOLIDATION,810.46,yellow,3,3
2026-05-28,5.8,CONSOLIDATION,880.72,yellow,3,3
2026-06-04,5.8,CONSOLIDATION,925.99,yellow,3,3
2026-06-11,6.0,CONSOLIDATION,868.09,yellow,3,3
2026-06-18,5.9,CONSOLIDATION,1072.08,yellow,3,3
2026-06-25,5.9,CONSOLIDATION,1024.31,yellow,3,3
2026-07-02,5.8,RISK WATCH,848.58,yellow,3,3
2026-07-09,5.8,CONSOLIDATION,909.775,yellow,3,3
2026-07-16,6.1,RISK WATCH,770.61,yellow,3,3
2026-07-23,6.3,RISK WATCH,921.985,yellow,3,3
2026-07-30,6.0,RISK WATCH,847.905,yellow,3,1
2026-08-20,6.0,RISK WATCH,853.0,yellow,3,3
2026-08-27,6.1,RISK WATCH,847.2,yellow,3,1
