date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.4,CONSOLIDATION,5.64,yellow,3,3
2026-05-13,5.4,CONSOLIDATION,5.64,yellow,3,3
2026-05-13,5.4,CONSOLIDATION,5.64,yellow,3,3
2026-05-13,5.4,CONSOLIDATION,5.595,yellow,3,3
2026-05-14,5.4,CONSOLIDATION,5.765,yellow,3,3
2026-05-21,5.5,CONSOLIDATION,5.26,yellow,3,3
2026-05-28,5.5,CONFLUENCE,6.16,yellow,3,3
2026-06-04,5.4,CONSOLIDATION,5.99,yellow,3,3
2026-06-11,5.3,RISK WATCH,5.13,yellow,3,3
2026-06-18,5.2,RISK WATCH,5.005,yellow,3,3
2026-06-25,5.1,RISK WATCH,4.4501,yellow,3,3
2026-07-02,5.0,RISK WATCH,4.315,yellow,3,3
2026-07-09,5.0,RISK WATCH,4.1,yellow,3,3
2026-07-16,5.0,RISK WATCH,3.79,yellow,3,3
2026-07-23,5.0,RISK WATCH,3.805,yellow,3,3
2026-07-30,5.0,RISK WATCH,3.605,yellow,3,3
2026-08-20,5.3,RISK WATCH,3.7834,yellow,3,3
2026-08-27,5.4,CONSOLIDATION,5.09,yellow,3,3
