date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,7.4,CONSOLIDATION,397.28,green,3,3
2026-05-13,7.4,CONSOLIDATION,397.28,green,3,3
2026-05-13,7.4,CONSOLIDATION,397.28,green,3,3
2026-05-13,7.4,CONSOLIDATION,403.24,green,3,3
2026-05-14,7.5,CONSOLIDATION,420.175,green,3,2
2026-05-21,7.5,CONSOLIDATION,407.15,green,3,3
2026-05-28,7.3,CONSOLIDATION,424.86,green,3,3
2026-06-04,7.3,CONSOLIDATION,444.92,green,3,3
2026-06-11,7.3,CONSOLIDATION,421.07,green,3,3
2026-06-18,7.3,CONSOLIDATION,454.805,green,3,3
