date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,5.0,CONSOLIDATION,25.55,yellow,3,3
2026-05-13,5.0,CONSOLIDATION,25.55,yellow,3,3
2026-05-13,5.0,CONSOLIDATION,25.55,yellow,3,3
2026-05-13,5.1,CONSOLIDATION,25.77,yellow,3,3
2026-05-14,5.2,CONSOLIDATION,25.5,yellow,3,3
2026-05-21,5.3,CONSOLIDATION,24.29,yellow,3,3
2026-05-28,5.2,CONSOLIDATION,28.19,yellow,3,3
2026-06-04,5.2,CONSOLIDATION,27.1,yellow,3,3
2026-06-11,5.1,RISK WATCH,22.56,yellow,3,3
2026-06-18,5.2,CONSOLIDATION,24.45,yellow,3,3
