date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,6.0,CONFLUENCE,292.53,yellow,3,3
2026-05-13,6.0,CONFLUENCE,292.53,yellow,3,3
2026-05-13,6.0,CONFLUENCE,292.53,yellow,3,3
2026-05-13,6.0,CONSOLIDATION,302.295,yellow,3,3
2026-05-14,6.0,CONSOLIDATION,293.925,yellow,3,3
2026-05-21,6.1,CONSOLIDATION,268.29,yellow,3,3
2026-05-28,6.1,CONSOLIDATION,342.09,yellow,3,3
2026-06-04,6.2,CONSOLIDATION,306.12,yellow,3,2
2026-06-11,6.2,CONSOLIDATION,298.06,yellow,3,2
2026-06-18,6.1,CONSOLIDATION,327.33,yellow,3,3
