date,score,signal,price,score_light,bull_count,bear_count
2026-05-13,6.2,CONSOLIDATION,367.13,yellow,3,3
2026-05-13,6.2,CONSOLIDATION,367.13,yellow,3,3
2026-05-13,6.2,CONSOLIDATION,367.13,yellow,3,3
2026-05-13,6.1,CONSOLIDATION,372.3,yellow,3,3
2026-05-14,6.2,CONSOLIDATION,379.06,yellow,3,3
2026-05-21,6.4,CONSOLIDATION,323.4,yellow,3,1
2026-05-28,6.2,CONSOLIDATION,314.18,yellow,3,1
2026-06-04,6.4,CONSOLIDATION,323.92,yellow,3,0
2026-06-11,6.3,RISK WATCH,297.88,yellow,3,2
2026-06-18,6.4,CONSOLIDATION,333.66,yellow,3,1
2026-06-25,6.3,CONSOLIDATION,325.2,yellow,3,2
