date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.5,CONSOLIDATION,72.12,yellow,3,2
2026-05-12,6.5,CONSOLIDATION,72.12,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,72.12,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,72.12,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,72.12,yellow,3,2
2026-05-13,6.4,CONSOLIDATION,72.12,yellow,3,2
2026-05-13,6.3,CONSOLIDATION,72.12,yellow,3,2
2026-05-13,6.3,CONSOLIDATION,72.12,yellow,3,2
2026-05-18,6.3,RISK WATCH,70.2901,yellow,3,2
2026-05-25,6.3,CONSOLIDATION,68.08,yellow,3,2
2026-06-01,6.3,CONSOLIDATION,76.1,yellow,3,2
2026-06-08,6.2,CONSOLIDATION,69.92,yellow,3,3
2026-06-15,6.4,CONFLUENCE,74.35,yellow,3,2
2026-06-22,6.1,CONSOLIDATION,73.38,yellow,3,3
2026-06-29,6.1,CONSOLIDATION,78.37,yellow,3,3
